"dt","modelloop","model","n","av","sex","ind"
"09292022 231619",52,"upd",300,0,0,0.0766666666666667
"09292022 231310",53,"av",300,0.00666666666666667,0.00666666666666667,0.00333333333333333
"09292022 231413",53,"ind",300,0,0,0.35
"09292022 231517",53,"sex",300,0,0,0.00666666666666667
"09292022 231619",53,"upd",300,0,0.00333333333333333,0.0466666666666667
"09292022 231310",54,"av",300,0,0.00333333333333333,0
"09292022 231414",54,"ind",300,0.00333333333333333,0.00666666666666667,0.466666666666667
"09292022 231517",54,"sex",300,0.00333333333333333,0,0.00333333333333333
"09292022 231621",54,"upd",300,0,0,0.04
"09292022 231310",55,"av",300,0.00666666666666667,0.00333333333333333,0.00333333333333333
"09292022 231414",55,"ind",300,0.00333333333333333,0,0.39
"09292022 231517",55,"sex",300,0,0,0.00333333333333333
"09292022 231620",55,"upd",300,0.00333333333333333,0,0.0766666666666667
"09292022 231310",56,"av",300,0,0,0
"09292022 231413",56,"ind",300,0,0,0.41
"09292022 231517",56,"sex",300,0.00666666666666667,0.00666666666666667,0
"09292022 231620",56,"upd",300,0.00333333333333333,0.00333333333333333,0.0566666666666667
"09292022 231310",57,"av",300,0,0.01,0
"09292022 231414",57,"ind",300,0,0.00666666666666667,0.336666666666667
"09292022 231517",57,"sex",300,0.00333333333333333,0,0.00333333333333333
"09292022 231620",57,"upd",300,0,0.00666666666666667,0.09
"09292022 231310",58,"av",300,0,0.00333333333333333,0.00666666666666667
"09292022 231413",58,"ind",300,0.00333333333333333,0.00333333333333333,0.423333333333333
"09292022 231517",58,"sex",300,0,0,0.01
"09292022 231620",58,"upd",300,0,0,0.0733333333333333
"09292022 231310",59,"av",300,0.00333333333333333,0,0.00333333333333333
"09292022 231414",59,"ind",300,0,0,0.36
"09292022 231517",59,"sex",300,0.00666666666666667,0,0
"09292022 231620",59,"upd",300,0.00333333333333333,0.00333333333333333,0.0766666666666667
"09292022 231310",60,"av",300,0.00333333333333333,0,0.00666666666666667
"09292022 231413",60,"ind",300,0,0,0.37
"09292022 231517",60,"sex",300,0.00333333333333333,0.00333333333333333,0.00333333333333333
"09292022 231620",60,"upd",300,0.00666666666666667,0.00333333333333333,0.0566666666666667
"09292022 231714",61,"av",300,0.0133333333333333,0.00333333333333333,0.00333333333333333
"09292022 231816",61,"ind",300,0.00666666666666667,0.00333333333333333,0.366666666666667
"09292022 231918",61,"sex",300,0.00333333333333333,0.00333333333333333,0
"09292022 232020",61,"upd",300,0.00333333333333333,0.00333333333333333,0.0733333333333333
"09292022 231715",62,"av",300,0.00333333333333333,0.00333333333333333,0
"09292022 231817",62,"ind",300,0.00666666666666667,0,0.39
"09292022 231919",62,"sex",300,0,0,0.00333333333333333
"09292022 232021",62,"upd",300,0,0,0.106666666666667
"09292022 231716",63,"av",300,0,0,0.00333333333333333
"09292022 231819",63,"ind",300,0,0,0.416666666666667
"09292022 231921",63,"sex",300,0,0.01,0.00333333333333333
"09292022 232024",63,"upd",300,0,0,0.0533333333333333
"09292022 231716",64,"av",300,0,0,0
"09292022 231819",64,"ind",300,0,0.00333333333333333,0.406666666666667
"09292022 231921",64,"sex",300,0,0.00333333333333333,0.01
"09292022 232023",64,"upd",300,0,0.00333333333333333,0.0566666666666667
"09292022 231716",65,"av",300,0,0,0
"09292022 231819",65,"ind",300,0,0,0.416666666666667
"09292022 231921",65,"sex",300,0.00333333333333333,0,0
"09292022 232023",65,"upd",300,0.00333333333333333,0.00666666666666667,0.0633333333333333
"09292022 231717",66,"av",300,0.0133333333333333,0,0.00333333333333333
"09292022 231819",66,"ind",300,0,0.00333333333333333,0.473333333333333
"09292022 231922",66,"sex",300,0,0.00333333333333333,0.00666666666666667
"09292022 232025",66,"upd",300,0,0.00333333333333333,0.06
"09292022 231719",67,"av",300,0.00333333333333333,0,0.00333333333333333
"09292022 231821",67,"ind",300,0,0,0.443333333333333
"09292022 231923",67,"sex",300,0,0,0
"09292022 232026",67,"upd",300,0.00333333333333333,0,0.0833333333333333
"09292022 231722",68,"av",300,0,0.00666666666666667,0
"09292022 231825",68,"ind",300,0.00666666666666667,0,0.403333333333333
"09292022 231927",68,"sex",300,0,0.00666666666666667,0
"09292022 232030",68,"upd",300,0.00666666666666667,0,0.06
"09292022 231722",69,"av",300,0.00333333333333333,0,0
"09292022 231825",69,"ind",300,0,0,0.386666666666667
"09292022 231928",69,"sex",300,0,0.00333333333333333,0.00333333333333333
"09292022 232031",69,"upd",300,0.00333333333333333,0,0.07
"09292022 231722",70,"av",300,0.00333333333333333,0.00333333333333333,0.00333333333333333
"09292022 231826",70,"ind",300,0,0,0.493333333333333
"09292022 231929",70,"sex",300,0.00666666666666667,0.00333333333333333,0.00333333333333333
"09292022 232031",70,"upd",300,0,0.00333333333333333,0.0666666666666667
